intentservice,3955410
boost-graph,1532550 2244580 3183430 4052830 4054000
page-index-changed,3188800
touch-typing,1399480
google-api-java-client,2813470 4224100
notify,3302240 3369490 4608480
truecrypt,3863780
character-set,64860
cgns,3804570
deepload,770570
standards,131540 145570 331690 335360 341920 362730 436300 456250 470120 516500 653150 734470 760790 779910 784900 825100 913980 1016080 1188770 1298610 1316040 1354890 1390020 1425730 1546510 1599960 1670400 1682940 1707700 1748180 1764290 1804760 1825420 1868300 1881610 1882740 2083060 2089690 2216110 2234570 2318650 2325880 2452090 2460970 2633330 2838720 2862050 2867200 2942860 3005750 3033610 3165400 3278600 3575920 3583980 3595750 3619340 3663110 3739210 3806100 3849730 4064010 4111950 4112410 4441930 4495510 4664100
addeventlistener,978740 2587740 2983250 3740650 4616810
pyside,2196300 3768440 4071740
viewdata,1169170 1579970 1715570 2045200 2342680 2587400 3227210 3554030 3554240 3555350 3833830 3969110 4272400 4556720 4649840
rrd,2228240 4154330
keyboard-layout,888770 1268600 1741280 3006690 4244030
latex-environment,2918610 2943800 3124500
html5-notifications,4171230
edt,209790
analytics,1033780 1065170 1476420 1523380 1921870 1926730 2035900 2151190 2441420 2578220 2791990 2948470 3009550 3144100 3165210 3246940 3289970 3384260 3391640 3427580 3479990 3576720 3648120 3850150 3872950 4018550 4453520 4499980 4558850 4665960 4684290
upnp,274470 1716740 2025470 3965970 4459470
access-denied,992760 2064980 2711470 4683220 4708650
tfs2012,1690520
directory-listing,1333220 4183930 4256160
checksum,847450 1100730 1194630 1358510 1480580 1545570 1700650 1767910 1790380 2188060 2300740 3037440 4012750 4025450 4113890 4592800
google-spreadsheet-api,4348610
db2400,153920
ora-01858,4333650
paragraph,845390 1221540 1614360 2341500 2405140 3169350 3783690 4357370 4557790 4705670
datasource,283460 335420 509620 622680 797500 816710 887960 940210 1019410 1048570 1143470 1322360 1641290 1725230 2120990 2145680 2443460 2502850 2759300 2865450 2920780 2940120 2957700 3108710 3259790 3348980 3389180 3461310 3494150 3515040 3624420 3810540 3969350 4075010 4101940 4538710 4562320
enumerable,1359370 2083570 2232470 2327780 2470130 2659290 4194900
saving-data,2269310 2982060
shared-libraries,134490 216450 378350 462100 475570 695530 728500 804510 967930 986210 1181130 1201230 1242820 1579330 1595450 1665600 1681060 1692680 1706370 1745880 1757090 1774920 1904990 1958330 2233890 2287600 2583020 2583770 2624880 2694290 2716190 2719220 2905770 3126940 3165080 3314800 3502340 3571300 3577320 3863820 4026460 4347000 4392550 4394430 4423940 4514730 4542770 4566960 4643280 4672000 4681130
oracle-xe,950670 961750 2716630 3071860 3973680 4545190
policy,970800 3344800
rendertargetbitmap,2562310 3437830
castle-validators,1342400
subsonic3,1110580 1118630 1124670 1164200 1165660 1186320 1203230 1280700 1340670 1348840 1353920 1438000 1446340 1467820 1499680 1614820 1660420 1711390 1724760 1742300 1827630 1871260 1871320 1903780 1941420 2034280 2183820 2284400 2311250 2394350 2420500 2540320 2601040 3189910 3225100 3226850 3274140 3413870 3526180 3535970 3652700 3963540 4448300
expect,271090 385980 432670 1468510 1656270 2506810 2592820 3041530 3135030 3231630 3302460 3733060 3747040 3805200 3990430 4488620 4505700 4566830
jquery-1.3,537860 635240 1238950 1402190
staging,1093400 1535580 2280500 3055210 3574050 3793860 3808850 4295430
composite-key,227130 1923580 2314200 2418940 3585540 3899260 4668690
memcpy,1570330 1656010 3079880 3178500 4117430 4415910 4438540 4639600
zsi,1496910 4331310
x509certificate,1503840 2322560 3367610 3993660 4009540 4097040 4335760 4471990 4552100 4666970
prefix,900500 1151560 2241600 2281650 3115500 3920930 4019730 4085650 4508590
netsuite,2429400 4035700
xml-rpc,101180 125190 260150 265660 295740 739830 997610 1304280 1324360 1333320 1339970 1589150 1636910 1731790 1767190 1801050 2714650 2824460 2834260 3071180 3097020 3180330 3198820 3248320 3516380 3571520 3877060 4110840 4138310 4314960 4339520 4563680 4633670 4647930
module-search-path,1935290
datagridviewcellstyle,3439600
smslib,4643860
slimdx,1223650 1252780 1589690 1692990 2868900 3197510
nsdocument,1741070 1962540 2529300 3435500 3560060 4002230 4199740 4209840
psyco,1438220 1646260
codemirror,3905960 4350300
cherokee,3423860
coderush,1424090 1625430 1804930 1908420 2774670 3531600
hmvc,2308570
html-encode,223480 1219860 1562360 1657010 1960920 2083520 2283920 3356790 3676620 3708450 3905310 4231100 4264640 4388510 4649520
continuous-forms,2811880
xul,120170 144960 294340 295060 396580 549650 726840 780960 915810 1611470 1754200 2025100 2030420 2041190 2121870 2589980 2755850 2775530 3078430 3508370 3530410 3610360 3698950 3703350 3772240 3782600 3895530 3946430 4017580 4167430 4309180 4356500 4396360 4438590 4482110 4499500 4584760
scratchbox,900040
httpd.conf,709870 874790 1101000 1167130 1781540 3668560
raid,10600
nsrange,4310180
cors,3136140 3616440
objectcontext,2218370 2515210 2703100 2819070
gdirections,1585910
blobs,1465860
der,2931390 3313020
zos,1696060 2118010 2478600 2656350 3564920
3d-modelling,3253160 3297370
google-adwords,326670 518460 684650 1068120 1277930 2208670 2478510 3308520 4634220 4665790
wtk,933530
smart-quotes,334850
libvlc,4083610
high-level,2703870
type-theory,1079120
desktop-application,52520 61180 90530 189140 521110 590910 736580 846740 972390 1030440 1531400 1643260 1758300 1849650 1917480 2170100 2265530 2351330 2361510 2401370 2595620 2692060 3018420 3203100 3297730 3432440 3450050 3514090 3555630 3862400 4084390 4119280
cross-cutting-concerns,331510
imagekit,1662520 1807590 2131750 2845000
directory-structure,61000 255800 275550 671260 900240 1094890 1836490 2651700 2825340 3075070 3419910 3787090 4183930 4412570
apache-ode,2874450
dawg,3835950
frm,712470
jna,1205530 1375550 1612520 1773720 2518170 2642930 3000790 3979800 4100990 4177870 4589380 4674320
iis-6,22590 74190 111410 113930 171020 193720 201320 261420 275920 305830 364030 403480 416420 426170 478840 502860 508950 576280 648770 649440 651740 692500 715630 744990 752830 803510 815360 825400 947380 973720 980250 1044820 1046620 1048720 1094120 1130920 1155700 1166570 1236240 1273030 1278150 1308380 1319910 1347030 1400210 1401820 1427320 1544410 1546730 1610880 1628180 1652160 1710270 1795490 1819710 1907670 1911030 2094460 2184990 2237400 2339320 2349140 2412400 2471720 2556800 2581950 2635320 2650340 2717280 2804040 2881440 2992680 3044720 3133820 3138220 3138850 3152790 3297190 3298090 3325410 3477720 3502440 3522310 3581190 3614700 3630990 3706730 3713570 3816120 3835190 3858780 3876900 3886720 3910530 3987470 4003090 4058570 4144940 4152310 4153930 4190150 4208970 4220580 4331380 4333380 4339720 4340630 4400500 4518280 4522590 4599940
element,603870 916600 917610 1030220 1398370 1564430 1694000 1860720 1901470 2029730 2064660 2364140 2443010 2661860 3167450 3205940 3520970 3783850 3845900 4088470 4175420 4430050 4665690
hiddenfield,1471960 2992670 4104560
tdbgrid,1300450
uisegmentedcontrol,1029570 1336760 1380600 2045350 2080690 2134980 2503660 2574960 2613270 2726880 2789790 2936450 3772170 3925150 4077140 4361840 4388740 4486230 4630800
ioerror,2687180 3009870 3480110 3979480 4557920
wsdl.exe,1563350 2066930
tweetsharp,2209940 2851570
variation,1399180 3087310
user-guide,594020
subtitle,1202810 4069150
unaccent,863800
fluid-layout,2989950 4439710
jsr286,3119870
tooling,4609010
gksudo,2002390
windows-style-flags,2384020
http-request-parameters,2292260
jquery-validate,487430 1636530 1734840 1757960 1824230 1831280 2052200 2268090 2445010 2535940 2654150 2656220 2661760 2682030 2830430 2831680 2856120 2924520 2933990 3071130 3118400 3123290 3129150 3201740 3227410 3282610 3289000 3317870 3373500 3464170 3645870 3663750 3671300 3789370 3887160 3891840 3949890 4011470 4081670 4156310 4187980 4211410 4248060 4320410 4346790 4372290 4372900 4425870 4527840 4527970 4582940 4620140 4653210
pci-bus,374200 768420 1706700
django-generic-views,2365420 3915560 4668040
mindate,2638740
video-gallery,4705670
datejs,395230 3076830
header-row,4185070
integral,4247380
documentum6.5,3734930
winsock2,1072510 2115530 2774130 3960680 4147260 4633410
dreamweaver,527080 611390 646280 1224700 1493450 1510510 1591280 1740410 1843400 2040500 2157850 2194620 2197610 2350790 2413810 2511790 2722860 2929490 3011970 3099210 3102310 3244060 3330610 3353470 3428010 3712240 3799190 4125880 4332260 4455130 4471050 4637750
odbc,283460 297200 359880 407690 425130 449340 453970 488600 496430 503560 556440 635550 687940 691500 721420 766350 768250 863390 868680 895840 1140900 1169330 1230150 1272300 1275170 1409610 1409970 1412130 1435270 1436160 1563720 1603160 1780480 1785600 1788420 1832330 1881800 2030750 2082480 2138530 2211970 2368390 2374870 2402690 2460700 2508270 2718780 2721420 2730550 2732530 2822260 2874160 2970420 2981270 3006700 3018500 3024150 3216920 3236690 3333440 3387970 3395760 3458550 3523500 3575060 3641510 3684340 3715840 3825530 3826210 3845760 3976210 4048210 4082300 4231650 4235740 4473720 4476670 4477670 4517230 4619140 4653430 4675130 4688160 4691310
superfish,103630 982210 1039950
private-members,676930 1127350 1222480 1919080 2178720 2278220 3021770 3220870 3607380 4626940
imdb,100280
attr,2791400 3671650 4517320 4702000
ajax-polling,2690430 4426150
software-engineering,78360 127890 128710 268890 394320 521810 544380 568600 602990 621140 650160 660900 843610 946470 961460 971270 1001120 1068850 1186690 1257290 1269400 1279140 1331630 1452550 1463880 1654470 1691270 1818420 1857400 1871110 1909280 1941770 2058700 2092200 2142780 2521660 2747320 2800600 2859980 2997120 3127600 3288540 3340670 3382660 3458910 3485970 3797140 3909180 4243010 4385750 4399610 4445180 4447450 4481870 4503760 4608180
playback,1661720 1942340 2082800 2398000 3127500 3337110 3346820 4073370 4467240
scheduling,93460 316120 450180 630670 700810 738760 903720 1030860 1221990 1602980 1694140 1700380 1790810 2077840 2301640 2406860 2552810 2920620 3136730 3210600 3604510 3629350 3768600 3837950 3883320 4397530 4521020 4546160
netconnection,1648590 3027960
jexcelapi,1176080 3236870
codecave,787100
functional-dependencies,2718420 3740830 3872940 4538480
hessian,140510 4441550
datasnap,546930 3493990
createwindow,1748470 4306630 4351630 4371470
fink,1992720
remoteobject,657980 1681440 3212440 3556010 4663090
recaptcha,351810 1076600 1319920 1620370 2227690 2447470 2711680 3119360 3446040 3465370 4528460
common-controls,2130360
matrix-multiplication,3110410 4109100 4304600 4484150
fractals,444480 1115940 1583360 1750290 2075040 2712230 3411990 3481430
code-signing,129920 252180 724180 956680 1045390 1374170 1594390 1859410 2059470 2588330 2635480 2712420 3370250 3398560 3610680 3797370 4417410
virtual-inheritance,2906500 3310910 4546340
openurl,1485860 2195810 2549220
brainbench,3448800
proc-sql,1040660
er-modeling,1029720
urlrequest,1764170 3026840
memory-alignment,1467560
dde,2154560 2409060 3694800
blockui,630170 1934220 2293430 2346360 3322840 3726370 4021560
documentpage,3016580
simplebutton,560490 3882900
kml,198870 654940 902260 950950 1071610 1115010 1750040 1960850 2496660 2718870 3056690 3156210 3321690 3649870 4122160 4296840 4305480 4310030 4651930
cryptographicexception,744530
netsh,1269590 2027450 2521950 4432450
comexception,1991630 2192930 2857040 3593140 4137260
pyuno,3351770
assembla,3039520 4596310
jtextfield,367940 1313390 1414910 1522970 1543480 1659640 1731100 2286990 2376990 3701520 3980670 4146860
basehttpserver,4419650
ezpublish,2117190
nsindexpath,2039870 2863940 3904470
member-functions,1132600 1463150 2245780 3025830 3330620 3764340 4355660 4444010 4622330
gwt2,2215260 4153380 4325400 4331060 4707120
mutators,2605300
pixate,1710180
htmltextwriter,3408490
traits,1836060 1978770 2038370 3381230 3459630 4058530 4683840
virtual-keyboard,2995490 4218440
code-coverage,4080 48110 225040 242650 289270 348850 363740 389680 468930 470310 703570 1088180 1195230 1475520 2647790 2727990 2948250 2948400 3049910 3200160 3284470 3302600 3319390 3579980 3636590 3902350 4139800 4442490 4483370 4657320
alertdialog,2733750 2795300 2992650 3081440 3295200 3410810 3474210 3605260 4242370 4359640 4389370 4438260 4611540
excel-vba-mac,4670420
servicemix,3854270 4440610
prado,2865180
tilde,2640260
mirror,3403870 3940370 4634300
oodbms,61520 173040 889770
lifetime,691560 1630270 4274730 4522900
jni,4630 462100 592520 730720 903530 915790 1191950 1231700 1522660 1588880 1711490 1721560 1904280 2024570 2062020 2162550 2250080 2319030 2328090 2469600 2535700 2669350 2748480 2843620 2882150 3000790 3088470 3307320 3337040 3405980 3421300 3618050 3627240 3650250 3827750 3871960 3907410 4052150 4145060 4165750 4233510 4237790 4302680 4315300 4352670 4359720 4440440 4487250 4508210 4542070 4589380 4637140 4645870 4656490
custom-attributes,1429490 1439900 1528090 1657680 1770550 2476120 2878560 3230920 4256400 4604530
os-detection,394230 714100 3441880 4058840
x509,216110 347690 547890 1816810 1840720 2433940 3260960 3313020 3722610 4185000
client,32540 244000 278140 288560 567340 590510 726780 735350 771950 897770 943310 1082840 1212110 1300660 1399500 1482020 1488050 1506140 1716910 1758180 1917480 1919990 1923050 2051220 2153380 2186330 2379430 2432130 2469560 2660210 2674210 2780300 2866390 2969810 2979590 3044590 3112980 3115960 3127990 3166150 3272210 3301260 3374120 3440720 3478130 3501670 3520630 3536770 3767530 3845900 3886520 4018230 4056990 4184880 4250560 4385810 4473980 4474360 4482000 4493650 4600390 4666180
simpleadapter,4310190 4482370
su,710110 3657440
ilist,555750 2110440 2947260 4131350 4261760
rpm-spec,3634650 4511750
debian-based,1693020
params-keyword,3057080
team-project,381020 482380 1760270
directcompute,2915350 3172220
sqlparameter,182060
block-programming,2763440
mysql-error-2002,3964920
castle,274220 1219760 1440440 1986370 3229640 3233520 3574030 4419690
test-framework,3807040
obsolete,2602510 2902830 3022690 3196160 3587200 4599410
itemeditor,572870 2059590 3070940 3437650
jquery-rotate,365820
viterbi,291780
morelikethis,4641890
showdialog,764930 2880300 2922940 2943150 4366780 4556330
xll,374670
webapplicationstresstool,1130920
asn.1,4711010
visual-web-gui,647060
border,74100 247530 410720 501840 807420 997760 1219920 1244570 1257430 1264010 1498410 1562610 1693070 1843180 2059700 2295190 2658260 2713190 2837440 2874190 2876310 2986200 2989420 3037890 3046640 3114420 3158030 3487350 3693820 4045640 4085860 4096390 4178400 4345750 4392300 4479030 4524180 4541120 4688300
proc-open,1092180
silverstripe,1060410 1070150 1768300 4121330
rule-engine,775170 977390 1360800 1471750 1726730 1925360 2152840 2187960 2285060 3670930 4120350 4129580 4306930
rpxnow,418790 1495700 1736590 2152210 2466990 2731130 3882610 4511380
streaming,93710 286270 316820 357520 361220 376380 444380 446100 591760 608480 652600 719800 743220 784300 787040 787870 1046230 1070800 1076390 1081860 1256720 1263760 1325300 1377700 1499520 1527490 1534310 1594510 1599540 1729790 1746860 1750730 1876460 1898030 1902030 1932620 1938870 1962220 1970450 1976110 2005020 2098300 2134450 2328640 2363390 2513110 2517860 2536200 2547940 2596910 2842170 2926220 3016340 3037520 3080260 3197670 3208580 3233540 3241810 3326270 3390690 3569770 3594820 3615800 3656770 3663990 3665090 3665740 3666150 3764160 3827920 3871820 3943690 3956240 3972450 4008520 4186800 4241060 4241330 4256370 4330250 4436620 4518830 4532550 4559880 4565970 4581330 4622960 4680500 4709940
complexity-theory,68340 424800 576810 602990 715020 1005590 1176330 1371480 1713540 1734740 2216590 2437950 3029080 3121000 3223670 3373190 3429560 3436340 3461980 3522900 3687270 3708070 3930360 4149440 4149560 4280450 4355450 4398630 4406110 4547300 4615450
qmenu,3134310
popupwindow,1550600 1663910 2611700 3170350 3915230 4316400 4415440 4593610 4709400
lazy-evaluation,104230 440290 1306140 1771600 2462780 2482890 2588130 2869750 2944650 3206410 3562610 4490790 4553880 4563230
tcpclient,586530 1343280 1939150 1984370 1998420 2296440 2372320 3143010 3609280 4255820 4319660
numeric,744110 893670 1221450 2533960 2600410 3892170 3980510 4443540 4605590
basm,2173570 3557500
hud,1825280 2642230 3857570
popup,200890 267120 357410 397320 429200 471200 523680 703030 795740 823790 837750 863000 863550 1032890 1043670 1068120 1100320 1153580 1202890 1349410 1377190 1385260 1411730 1519550 1567420 1609390 1663910 1726000 1746330 1769180 1830570 1911950 2007550 2253450 2278500 2310400 2460670 2531260 2595850 2608460 2657700 2705700 2735440 2740700 2766920 2820610 2992970 2996050 3018470 3072030 3095290 3112680 3173180 3245680 3249670 3259230 3266780 3322130 3406420 3562320 3598870 3618870 3623400 3628240 3654990 3662000 3728990 3806980 3818730 3903110 3922990 3929440 4033140 4083880 4098270 4150680 4162980 4229670 4232420 4408670 4466510 4571860 4572920 4692270
miglayout,1159400 1891400 2609060 3143220
spl-autoload-register,3710480
xpath-2.0,3875560 4347320
substr,1269120 1300610 2742650 3838660 4213230
hibernate-entitymanager,2359640
ownerdrawn,220100 346750 1178090 1658620
inline-code,639250 1950250 4179950
sar,2702360 4655740
eventkit,3619230 3984510 4149480 4440420 4475120 4585310
project-server,508680 1715760 3769320 3828690
xpsviewer,3100800
document-based-database,2755760
package-managers,341520 438520 1549570
android-image,3474780 3509530 3633370 4123280 4141150 4297620 4436660
user.config,2695130
speech-synthesis,3552250
app-data,1519790 2222040
correspondence,1914430
uibinder,2107740 3038540 3939490 3975000 4083230 4303320 4325400
sql-insert,2002500 2307550 3431220 3863010 3971550
nantcontrib,529450 3987110
palm,1913300 2007940 2206730 3054650 3613020 4591280
rtf,20450 105810 118490 196980 494470 530430 542850 557030 1104090 1368020 1479050 2026340 2100750 2344790 2368480 2422540 2946910 3462210 3755230 4085880 4204840 4279860 4343410
usort,1091740
janus,2070350
inode,347620 1742980 3618820
fold,1757740 2185550 4239010
rmi,218920 578430 612520 665280 705960 726460 730440 743510 1313410 1484050 2207220 2341710 3044590 3115330 3148090 3471200 3524710 3584060 3711270 3717540 3718060 3758970 3845730 3965750 4030730 4156470 4287320 4303460 4609950
multitasking,2619230 3488850 3622200 3654900 3854740 3866340 4037900 4158810 4184150 4297410 4401420 4489890 4542940 4608860
assembly-signing,3989470
rightfax,988340 4467620
textreader,2425800
idispatch,1139510
fields-for,2310730 3106970
memcachedb,2293040 4372870
iirf,497030 3025410 3153520 3254880
zend-framework,41010 143320 283740 284060 293590 336240 380050 392980 407030 534870 547180 600420 614400 626750 627460 657600 659950 665690 670710 693200 693270 700250 705230 730570 733040 733120 746260 754810 760640 763630 767570 775590 776820 778770 793730 794240 796420 797570 815030 816910 822100 841950 852410 853450 864070 899890 902190 924690 938930 969350 992400 1023310 1031720 1034750 1036450 1054440 1059810 1063540 1075480 1089680 1128490 1148360 1150620 1152020 1173690 1235390 1243460 1252800 1269850 1277420 1284540 1308350 1321820 1326270 1350220 1360700 1361970 1364280 1364750 1370130 1388610 1392370 1412010 1418670 1437180 1464300 1493230 1517430 1517460 1523630 1531530 1537700 1543890 1549280 1549770 1550840 1572310 1592280 1593440 1597930 1599610 1602310 1627820 1633510 1643380 1654120 1687950 1701190 1729030 1738000 1743630 1748660 1754910 1756630 1760110 1771900 1788260 1789710 1790880 1800970 1842470 1846400 1849330 1862390 1866100 1898860 1899460 1921840 1926710 1935480 1942790 1943300 1953620 1971600 1973930 1983020 1997270 2000780 2008990 2011710 2048950 2054920 2057760 2075800 2088690 2097720 2101240 2109090 2122850 2130530 2141370 2147620 2148510 2149760 2169040 2172380 2173950 2178100 2181290 2190270 2192320 2192980 2205260 2212550 2220420 2233390 2251100 2253170 2253840 2257550 2259170 2271300 2276580 2309600 2320590 2326410 2341200 2346930 2347710 2407470 2411080 2413590 2423240 2445360 2446860 2454910 2461130 2472280 2475070 2476710 2488740 2495810 2502790 2509020 2513830 2528970 2546460 2553160 2559340 2567360 2567520 2573730 2573890 2586530 2595000 2608470 2623600 2625880 2626560 2636620 2641350 2643740 2656290 2657700 2672040 2706650 2711650 2723860 2738470 2750900 2753030 2760090 2763260 2764240 2778690 2788810 2821450 2826720 2829410 2831770 2859510 2883900 2893000 2896000 2915740 2930870 2958750 2969610 2972200 2972660 2978220 3001020 3009410 3028240 3051620 3053050 3056910 3068270 3068370 3073320 3075340 3083170 3085030 3112220 3138420 3138990 3140310 3141920 3153030 3167290 3171150 3173390 3199710 3200780 3209250 3216470 3232290 3263910 3267980 3270870 3287300 3300670 3303170 3303830 3305470 3309180 3326880 3328910 3329060 3361750 3369010 3395120 3399030 3411110 3430130 3432720 3432790 3462250 3477990 3486720 3487030 3488780 3493900 3516380 3519360 3521790 3522750 3528760 3531490 3573540 3575990 3598400 3598800 3606480 3609920 3616760 3617290 3620590 3645300 3659620 3668020 3689880 3691070 3692100 3692520 3698760 3715700 3717010 3721520 3727300 3730030 3730460 3748060 3794070 3801000 3819800 3826410 3837480 3842920 3845480 3849860 3867840 3871460 3873290 3880900 3890110 3893760 3898420 3909460 3928920 3939120 3941860 3946340 3954390 3958490 3966730 3967930 3988910 3989060 3991170 4003450 4009180 4022770 4022790 4024150 4044440 4046170 4050510 4050860 4067130 4069510 4080350 4083540 4093630 4094260 4094420 4109110 4112490 4123300 4163430 4170650 4180480 4183080 4183140 4183730 4184470 4186770 4190760 4201810 4206120 4219910 4222900 4224480 4225910 4229300 4243440 4243600 4245380 4248320 4254410 4255720 4262270 4272100 4279540 4281310 4298220 4299010 4306750 4311170 4314960 4324420 4332050 4332980 4334300 4347800 4348100 4354610 4356460 4363460 4392330 4392580 4393760 4402330 4416850 4433910 4452450 4481980 4483130 4485420 4498820 4500230 4523990 4526160 4526870 4531290 4540310 4549110 4557160 4563680 4572600 4577500 4578370 4584220 4591520 4609920 4614300 4618790 4621430 4629630 4630370 4632500 4646000 4650880 4658570 4660320 4697580 4711520
calculator,397980 1352950 1933970 3727800 4113250
newid,4000590
binutils,444260 1239730 3807480 4029940
include-guards,2038640 2842560 4685220
printing-web-page,236630 616200 2045470 2067380 3023570 3900950
driver-signing,2739890
content-encoding,418650 2733280 3434290
adoption,2262840
object-destruction,4215100
dot-matrix,1293090 2898550
xmldom,3666260
ora-00979,3819710
azure-web-roles,4054630 4461830
payflowpro,2223430 2406840 2998720 4694320
emitmapper,4382070
regions,3204840 3381760
nsdictionary,1265420 1323650 1567850 1605310 2227400 2268880 2399720 2422480 2496430 2573330 2583240 2695030 2792610 2848340 2856680 3000220 3219910 3583020 4067710 4260490 4290650 4317760 4358440 4495810 4652270
system.web,1543430 3289240
collabnet,2716870 4277770
mojo-sdk,1563400
jax-rpc,1414280 3842900 4163140
cls-compliant,540520 1195030 1769490
localizable.strings,3153600 4018400
episerver,825620 1073170 2905770 3921790 4335380
qdockwidget,191020
spring-batch,1655140 3495100 4396830
flexigrid,1991690 2142150 2147620 2518090 3115090 3614730
telerik-scheduler,1926880 3495840
dxcore,1434720
rubyzip,236810 2585160
dblink,872770 988230
html-input,223940 2468680 3372380 3424860 3613060
biometrics,2106680 2496270 2527170 3358730 4077320
datediff,52430 939230 1787290 1946490 2166050 2627480 3496340 3921800 4073340
ogc,4444670
mkannotationview,2494810 3171100 3928860 3966410 4428830 4557740
sparse-matrix,840360 1886610 2338260 2360510 2593250 3110410 3470910 3997280 4057260 4281000 4484150 4623800
markup-extensions,4141220
splay-tree,2008630
sqlite3,631060 650480 925570 994810 1093420 1136080 1144230 1145190 1182240 1249290 1263780 1281310 1291430 1305220 1314940 1347090 1352270 1448220 1452790 1470560 1493210 1556930 1620710 1668030 1719610 1719910 1733050 1757910 1807320 1959150 2035670 2077770 2099090 2140540 2157330 2185180 2303950 2352320 2357010 2422670 2430960 2484300 2651060 2663210 2667440 2692280 2703720 2719840 2734040 2743440 2754860 2845080 2853640 2854560 2942370 2983010 2986580 3009060 3066990 3116890 3134900 3149370 3150620 3161250 3199790 3200150 3204110 3293790 3296040 3296430 3332250 3375050 3387980 3409800 3425320 3443630 3470580 3580610 3705150 3707870 3731380 3837530 3853640 3872400 3921810 3925220 3977570 3999210 4004430 4017160 4024820 4063510 4066430 4131890 4141010 4141830 4387660 4426330 4436550 4448240 4453640 4467230 4514120 4525220 4529760 4536930 4567180 4598300 4600770 4625370 4633650 4636970 4637790 4647610
webformsmvp,3757400
media,259330 314700 829470 843100 845340 1364880 1466250 1829810 2105440 2547940 2701240 2971320 3179580 3390440 3434930 3437050 3589310 3594820 3655270 3972540 4189350 4685490
login-automation,1306250
app-offline.htm,373540 2860680
posthoc,2464680
area,1287600 1667310 2034540 3422400 3672260
memorystream,884910 1608190 2151360 2953190 3016580 3095030 3879650 4413420
inversion,3079600
netbeans6.8,1846720 1926330 1978500 2021570 2177690 2411420 2498600 3008390 3022240 3256300 3724420 4419480
asp-classic,2300 24730 50140 77960 90100 114260 115720 156930 184850 192080 196730 246890 254610 270510 273410 275090 286960 287370 287830 331240 340550 346960 353240 357440 370250 372030 378850 381010 426170 434750 436580 451080 460050 468710 473840 478840 502490 506260 511180 587420 592890 609230 684610 706560 816040 821230 824430 825400 856710 896850 905290 910530 915080 921550 955960 981290 989660 1039410 1039640 1060780 1062670 1066170 1079740 1087830 1129720 1144300 1155630 1188930 1193540 1195390 1208180 1231810 1234650 1240120 1255980 1278940 1297020 1307240 1335080 1358550 1363380 1379590 1433360 1440260 1456110 1468930 1510860 1519380 1521020 1525000 1528780 1532420 1542750 1542790 1557820 1561040 1640970 1650240 1673680 1676660 1677480 1689760 1765030 1771040 1804790 1822860 1846370 1847920 1861000 1863400 1885170 1902480 1903350 1916790 1931740 1939350 2024900 2091110 2121990 2129950 2139000 2159970 2210900 2226050 2228360 2298490 2323550 2331730 2339450 2354970 2383190 2398390 2424510 2446370 2454230 2460720 2471980 2506580 2546260 2552620 2580920 2586540 2644000 2662690 2673520 2682280 2683680 2733100 2756320 2773070 2774040 2789830 2847210 2870670 2877270 2897630 2970890 2984260 3007270 3016650 3036050 3061250 3067250 3071270 3072350 3088030 3091120 3097560 3103360 3136130 3137280 3146330 3147510 3159230 3222620 3262430 3270120 3347480 3348740 3377490 3395760 3401200 3415310 3421660 3462600 3474070 3492790 3495250 3499590 3528730 3529670 3546060 3581040 3594120 3614700 3625380 3630990 3633160 3650950 3718500 3720320 3721210 3725060 3764380 3769210 3788080 3794880 3825780 3836820 3950450 3976210 3984840 3987470 4017310 4019050 4022440 4128080 4132120 4156260 4188730 4190150 4196990 4231890 4232510 4242470 4250240 4367350 4431170 4438970 4520960 4634320 4659700 4709260
split,136500 204970 286150 335970 372370 492700 580050 638480 725400 836440 842490 930290 1032720 1041600 1293950 1676990 1823260 1915170 1924600 1965150 2005180 2038920 2170320 2175080 2341500 2446910 2507330 2599230 2605170 2612900 2637500 2861530 2892730 2899020 2921400 2961110 2972450 3054220 3072190 3147880 3252160 3254680 3435900 3537420 3581380 3583580 3607060 3623960 3627270 3696550 3799360 3829060 3834470 3850680 3869750 3887640 3897870 4001320 4017890 4032440 4091680 4171130 4211190 4350440 4438040 4477710 4491520 4524860 4562980 4660530 4663890 4666740
poplib,224660
javaw,3290320
sinatra,732560 1004520 1047310 1106940 1131560 1406560 1647650 1706120 1868320 1936010 2087390 2143190 2203600 2239240 2434800 2437390 2442740 2544000 2568520 2601070 2660470 2693000 2705550 2713740 2752120 2932750 2999430 3057090 3121560 3187510 3547970 3592940 3693490 3697080 3968410 4181300 4252800 4342100 4355430 4440210 4486320 4496430 4504940 4677740
scaffolding,417320 575280 927900 963420 1583340 2244070 2284400 2316320 2360900 2957430 3388630 3457630 4222040 4629380
3dsmax,421600 862660 4613120
siebel,260200 1700380 1905560 1949500 3650080
assert,32280 368750 1096650 1571340 1809560 1877840 1994610 2340890 2364910 2703480 3425260 3566280 3645770 4330360
cocoon-gem,4671740
xstream,1757570 2045290 2146560 2294480 2456470 2533800 2906320 3404440 3563440 3642820 3932450 4267070 4409310 4634360
nested-generics,1671510 3333590 4254830
multi-select,336760 2017170 2088770 2104870 2342680 2468710 2639980 2825000 2927700 3396150 4321810 4452960 4710780
tell-dont-ask,169450 561820
basic,493460 1769620 2749170 4110720
